id,resource_type,priority,year,category,title,identifier,url,screening_stage,relevance
P001,paper,medium,2014,foundations,"Neural Turing Machines",arXiv:1410.5401,https://arxiv.org/abs/1410.5401,title_abstract,"Differentiable external memory foundation"
P002,paper,medium,2014,foundations,"Memory Networks",arXiv:1410.3916,https://arxiv.org/abs/1410.3916,title_abstract,"Learned memory read and write"
P003,paper,medium,2015,foundations,"End-To-End Memory Networks",arXiv:1503.08895,https://arxiv.org/abs/1503.08895,title_abstract,"End-to-end memory addressing"
P004,paper,medium,2016,foundations,"Hybrid Computing Using a Neural Network with Dynamic External Memory",arXiv:1610.06258,https://arxiv.org/abs/1610.06258,title_abstract,"Differentiable neural computer"
P005,paper,medium,2019,foundations,"Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context",arXiv:1901.02860,https://arxiv.org/abs/1901.02860,title_abstract,"Segment recurrence and long context"
P006,paper,medium,2020,retrieval,"REALM: Retrieval-Augmented Language Model Pre-Training",arXiv:2002.08909,https://arxiv.org/abs/2002.08909,title_abstract,"Learned retrieval foundation"
P007,paper,high,2020,retrieval,"Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks",arXiv:2005.11401,https://arxiv.org/abs/2005.11401,priority_full_text,"RAG baseline"
P008,paper,medium,2021,retrieval,"Improving Language Models by Retrieving from Trillions of Tokens",arXiv:2112.04426,https://arxiv.org/abs/2112.04426,title_abstract,"RETRO retrieval architecture"
P009,paper,medium,2022,foundations,"Memorizing Transformers",arXiv:2203.08913,https://arxiv.org/abs/2203.08913,title_abstract,"kNN memory for transformers"
P010,paper,medium,2022,foundations,"Recurrent Memory Transformer",arXiv:2207.06881,https://arxiv.org/abs/2207.06881,title_abstract,"Recurrent memory tokens"
P011,paper,medium,2023,long_context,"RecurrentGPT: Interactive Generation of (Arbitrarily) Long Text",arXiv:2305.13304,https://arxiv.org/abs/2305.13304,title_abstract,"External recurrence via language interaction"
P012,paper,high,2023,long_term_memory,"Augmenting Language Models with Long-Term Memory",arXiv:2306.07174,https://arxiv.org/abs/2306.07174,priority_full_text,"LongMem architecture"
P013,paper,high,2023,long_context,"Lost in the Middle: How Language Models Use Long Contexts",arXiv:2307.03172,https://arxiv.org/abs/2307.03172,priority_full_text,"Evidence that more context is not always better"
P014,paper,medium,2023,long_context,"LongLoRA: Efficient Fine-tuning of Long-Context Large Language Models",arXiv:2309.12307,https://arxiv.org/abs/2309.12307,title_abstract,"Long-context adaptation"
P015,paper,high,2023,token_efficiency,"LLMLingua: Compressing Prompts for Accelerated Inference of Large Language Models",arXiv:2310.05736,https://arxiv.org/abs/2310.05736,priority_full_text,"Prompt compression baseline"
P016,paper,high,2023,token_efficiency,"LongLLMLingua: Accelerating and Enhancing LLMs in Long Context Scenarios via Prompt Compression",arXiv:2310.06839,https://arxiv.org/abs/2310.06839,priority_full_text,"Long-context compression"
P017,paper,medium,2023,token_efficiency,"RECOMP: Improving Retrieval-Augmented LMs with Compression and Selective Augmentation",arXiv:2310.04408,https://arxiv.org/abs/2310.04408,title_abstract,"Selective evidence compression"
P018,paper,medium,2024,long_context,"Leave No Context Behind: Efficient Infinite Context Transformers with Infini-attention",arXiv:2404.07143,https://arxiv.org/abs/2404.07143,title_abstract,"Compressed long-term attention memory"
P019,paper,core,2023,agent_memory,"Generative Agents: Interactive Simulacra of Human Behavior",arXiv:2304.03442,https://arxiv.org/abs/2304.03442,core_full_text,"Memory stream reflection and planning"
P020,paper,core,2023,agent_memory,"MemGPT: Towards LLMs as Operating Systems",arXiv:2310.08560,https://arxiv.org/abs/2310.08560,core_full_text,"OS-style tiered agent memory"
P021,paper,core,2023,agent_memory,"Cognitive Architectures for Language Agents",arXiv:2309.02427,https://arxiv.org/abs/2309.02427,core_full_text,"CoALA conceptual framework"
P022,paper,medium,2023,agent_memory,"Enhancing Large Language Model with Self-Controlled Memory Framework",arXiv:2304.13343,https://arxiv.org/abs/2304.13343,title_abstract,"Memory controller and stream"
P023,paper,high,2023,agent_memory,"MemoryBank: Enhancing Large Language Models with Long-Term Memory",arXiv:2305.10250,https://arxiv.org/abs/2305.10250,priority_full_text,"Forgetting and reinforcement"
P024,paper,high,2024,agent_memory,"Agent Workflow Memory",arXiv:2409.07429,https://arxiv.org/abs/2409.07429,priority_full_text,"Workflow experience memory"
P025,paper,core,2024,graph_memory,"HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models",arXiv:2405.14831,https://arxiv.org/abs/2405.14831,core_full_text,"Hippocampal-inspired graph retrieval"
P026,paper,core,2025,agent_memory,"A-MEM: Agentic Memory for LLM Agents",arXiv:2502.12110,https://arxiv.org/abs/2502.12110,core_full_text,"Dynamic linked memory organization"
P027,paper,core,2025,graph_memory,"Zep: A Temporal Knowledge Graph Architecture for Agent Memory",arXiv:2501.13956,https://arxiv.org/abs/2501.13956,core_full_text,"Temporal graph agent memory"
P028,paper,core,2025,agent_memory,"Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory",arXiv:2504.19413,https://arxiv.org/abs/2504.19413,core_full_text,"Scalable extracted and graph memory"
P029,paper,high,2025,agent_memory,"MemoryOS: An Operating System for Personalized AI",arXiv:2506.06326,https://arxiv.org/abs/2506.06326,core_full_text,"Hierarchical personalized memory OS"
P030,paper,high,2025,multimodal_memory,"MIRIX: Multi-Agent Memory System for LLM-Based Agents",arXiv:2507.07957,https://arxiv.org/abs/2507.07957,core_full_text,"Multi-agent multimodal memory"
P031,paper,high,2025,graph_memory,"LiCoMemory: Lightweight and Cognitive Agentic Memory for Personalized AI",arXiv:2511.01448,https://arxiv.org/abs/2511.01448,title_abstract,"Lightweight cognitive graph memory"
P032,paper,high,2025,learned_memory,"Memory-R1: Enhancing Large Language Model Agents to Manage and Utilize Memories via Reinforcement Learning",arXiv:2508.19828,https://arxiv.org/abs/2508.19828,title_abstract,"Learned memory operations"
P033,paper,high,2025,agent_memory,"In Prospect and Retrospect: Reflective Memory Management for Long-term Personalized Dialogue Agents",arXiv:2503.08026,https://arxiv.org/abs/2503.08026,title_abstract,"Prospective and retrospective reflection"
P034,paper,high,2025,agent_memory,"How Memory Management Impacts LLM Agents: An Empirical Study of Experience-Following Behavior",arXiv:2505.16067,https://arxiv.org/abs/2505.16067,priority_full_text,"Empirical memory design choices"
P035,paper,core,2026,brain_inspired_memory,"CraniMem: Cranial Inspired Gated and Bounded Memory for Agentic Systems",arXiv:2603.15642,https://arxiv.org/abs/2603.15642,core_full_text,"Closest bounded gated brain-inspired comparison"
P036,paper,high,2026,brain_inspired_memory,"BMAM: Brain-inspired Multi-Agent Memory Framework",arXiv:2601.20465,https://arxiv.org/abs/2601.20465,title_abstract,"Brain-inspired multi-agent memory"
P037,paper,core,2026,token_efficiency,"SimpleMem: Efficient Lifelong Memory for LLM Agents",arXiv:2601.02553,https://arxiv.org/abs/2601.02553,core_full_text,"Semantic compression and intent-aware retrieval"
P038,paper,high,2026,agent_memory,"D-Mem: A Dual-Process Memory System for LLM Agents",arXiv:2603.18631,https://arxiv.org/abs/2603.18631,title_abstract,"Fast retrieval with deliberative fallback"
P039,paper,medium,2026,systems,"Pancake: Hierarchical Memory System for Multi-Agent LLM Serving",arXiv:2602.21477,https://arxiv.org/abs/2602.21477,title_abstract,"Serving and hierarchical index efficiency"
P040,paper,high,2026,local_memory,"MemX: A Local-First Long-Term Memory System for AI Assistants",arXiv:2603.16171,https://arxiv.org/abs/2603.16171,title_abstract,"Local-first memory design"
P041,paper,medium,2026,learned_memory,"G-MemLLM: Gated Latent Memory Augmentation for Long-Term Reasoning",arXiv:2602.00015,https://arxiv.org/abs/2602.00015,title_abstract,"Gated latent memory"
P042,paper,medium,2024,multimodal_memory,"MA-LMM: Memory-Augmented Large Multimodal Model for Long-Term Video Understanding",arXiv:2404.05726,https://arxiv.org/abs/2404.05726,title_abstract,"Online multimodal memory"
P043,paper,medium,2025,agent_memory,"A Multi-Memory Segment System for Generating High-Quality Long-Term Memory",arXiv:2508.15294,https://arxiv.org/abs/2508.15294,title_abstract,"Cognitive multi-segment memory"
P044,paper,medium,2026,token_efficiency,"Memory Bank Compression for Continual Adaptation of Large Language Models",arXiv:2601.00756,https://arxiv.org/abs/2601.00756,title_abstract,"Memory growth compression"
P045,paper,medium,2025,multimodal_memory,"HippoMM: Hippocampal-Inspired Multimodal Memory for Large Language Model Agents",arXiv:2504.10739,https://arxiv.org/abs/2504.10739,title_abstract,"Multimodal brain-inspired memory candidate"
P046,paper,medium,2025,brain_inspired_memory,"RoboMemory: A Brain-Inspired Multi-Memory Agentic Framework",arXiv:2508.01415,https://arxiv.org/abs/2508.01415,title_abstract,"Brain-inspired multi-memory candidate"
P047,paper,core,2025,survey,"Memory in the Age of AI Agents: A Survey",arXiv:2512.13564,https://arxiv.org/abs/2512.13564,priority_full_text,"Broad agent memory taxonomy and references"
P048,paper,high,2026,survey,"Memory for Autonomous LLM Agents: Mechanisms Evaluation and Emerging Frontiers",arXiv:2603.07670,https://arxiv.org/abs/2603.07670,title_abstract,"Current autonomous-agent memory survey"
P049,paper,high,2026,survey,"Graph-Based Agent Memory: A Survey",arXiv:2602.05665,https://arxiv.org/abs/2602.05665,title_abstract,"Graph memory taxonomy"
P050,paper,high,2025,survey,"AI Meets Brain: Memory Systems for Language Agents",arXiv:2512.23343,https://arxiv.org/abs/2512.23343,title_abstract,"Neuroscience-inspired comparison"
P051,paper,high,2024,benchmark,"Evaluating Very Long-Term Conversational Memory of LLM Agents",arXiv:2402.17753,https://arxiv.org/abs/2402.17753,priority_full_text,"LoCoMo long-term conversational memory"
P052,paper,core,2024,benchmark,"LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory",arXiv:2410.10813,https://arxiv.org/abs/2410.10813,priority_full_text,"Long-term interactive memory evaluation"
P053,paper,core,2025,benchmark,"Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions",arXiv:2507.05257,https://arxiv.org/abs/2507.05257,core_full_text,"MemoryAgentBench competencies"
P054,paper,core,2026,benchmark,"MemoryArena: Benchmarking Agent Memory in Interdependent Multi-Session Agentic Tasks",arXiv:2602.16313,https://arxiv.org/abs/2602.16313,core_full_text,"Action-memory loop benchmark"
P055,paper,core,2026,benchmark,"MemGym: a Long-Horizon Memory Environment for LLM Agents",arXiv:2605.20833,https://arxiv.org/abs/2605.20833,core_full_text,"Memory-isolated agentic evaluation"
P056,paper,high,2026,benchmark,"EpiBench: Benchmarking Multi-turn Research Workflows for Multimodal Agents",arXiv:2604.05557,https://arxiv.org/abs/2604.05557,title_abstract,"Multimodal research workflow evaluation"
P057,paper,core,2026,benchmark,"SkillEvolBench: Benchmarking the Evolution from Episodic Experience to Procedural Skills",arXiv:2605.24117,https://arxiv.org/abs/2605.24117,core_full_text,"Primary benchmark"
P058,paper,core,2026,benchmark,"Terminal-Bench: Benchmarking Agents on Hard Realistic Tasks in Command Line Interfaces",arXiv:2601.11868,https://arxiv.org/abs/2601.11868,core_full_text,"Secondary CLI benchmark"
P059,paper,core,2026,benchmark,"LongCLI-Bench: A Preliminary Benchmark and Study for Long-horizon Agentic Programming in Command-Line Interfaces",arXiv:2602.14337,https://arxiv.org/abs/2602.14337,core_full_text,"Long-horizon CLI stress benchmark"
P060,paper,high,2023,benchmark,"SWE-bench: Can Language Models Resolve Real-World GitHub Issues?",arXiv:2310.06770,https://arxiv.org/abs/2310.06770,title_abstract,"Coding task verifier benchmark"
P061,paper,high,2025,benchmark,"SWE-EVO: Benchmarking Coding Agents in Long-Horizon Software Evolution Scenarios",arXiv:2512.18470,https://arxiv.org/abs/2512.18470,title_abstract,"Software evolution transfer and horizon"
P062,paper,high,2026,benchmark,"The Long-Horizon Task Mirage? Diagnosing Where and Why Agentic Systems Break",arXiv:2604.11978,https://arxiv.org/abs/2604.11978,core_full_text,"HORIZON failure diagnosis"
P063,paper,medium,2024,benchmark,"MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering",arXiv:2410.07095,https://arxiv.org/abs/2410.07095,title_abstract,"Research engineering tasks"
P064,paper,medium,2023,benchmark,"GAIA: A Benchmark for General AI Assistants",arXiv:2311.12983,https://arxiv.org/abs/2311.12983,title_abstract,"General assistant capability"
P065,paper,medium,2023,benchmark,"WebArena: A Realistic Web Environment for Building Autonomous Agents",arXiv:2307.13854,https://arxiv.org/abs/2307.13854,title_abstract,"Web-agent transfer setting"
P066,paper,medium,2024,benchmark,"OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments",arXiv:2404.07972,https://arxiv.org/abs/2404.07972,title_abstract,"Computer-use multimodal benchmark"
P067,paper,medium,2023,benchmark,"AgentBench: Evaluating LLMs as Agents",arXiv:2308.03688,https://arxiv.org/abs/2308.03688,title_abstract,"Cross-environment agent benchmark"
P068,paper,medium,2023,benchmark,"ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs",arXiv:2307.16789,https://arxiv.org/abs/2307.16789,title_abstract,"ToolBench and tool-use baseline"
P069,paper,medium,2024,benchmark,"AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents",arXiv:2407.18901,https://arxiv.org/abs/2407.18901,title_abstract,"State-based interactive coding verifier"
P070,paper,medium,2024,benchmark,"RULER: What's the Real Context Size of Your Long-Context Language Models?",arXiv:2404.06654,https://arxiv.org/abs/2404.06654,title_abstract,"Long-context stress baseline"
P071,paper,core,2023,experience_learning,"Reflexion: Language Agents with Verbal Reinforcement Learning",arXiv:2303.11366,https://arxiv.org/abs/2303.11366,core_full_text,"Reflection-based episodic improvement"
P072,paper,core,2023,experience_learning,"ExpeL: LLM Agents Are Experiential Learners",arXiv:2308.10144,https://arxiv.org/abs/2308.10144,core_full_text,"Cross-task experience extraction"
P073,paper,core,2023,skill_learning,"Voyager: An Open-Ended Embodied Agent with Large Language Models",arXiv:2305.16291,https://arxiv.org/abs/2305.16291,core_full_text,"Lifelong skill library"
P074,paper,high,2023,experience_learning,"Large Language Models are Semi-Parametric Reinforcement Learning Agents",arXiv:2306.07929,https://arxiv.org/abs/2306.07929,title_abstract,"REMEMBERER experience retrieval"
P075,paper,core,2025,procedural_memory,"Memp: Exploring Agent Procedural Memory",arXiv:2508.06433,https://arxiv.org/abs/2508.06433,core_full_text,"Procedural memory build retrieve update"
P076,paper,core,2026,procedural_memory,"Skill-Pro: Learning Reusable Skills from Experience via Non-Parametric PPO for LLM Agents",arXiv:2602.01869,https://arxiv.org/abs/2602.01869,core_full_text,"Verified executable skill learning"
P077,paper,high,2025,procedural_memory,"Evo-Memory: Benchmarking LLM Agent Test-time Learning with Self-Evolving Memory",arXiv:2511.20857,https://arxiv.org/abs/2511.20857,title_abstract,"Self-evolving memory evaluation"
P078,paper,core,2026,procedural_memory,"CODESKILL: Learning Self-Evolving Skills for Coding Agents",arXiv:2605.25430,https://arxiv.org/abs/2605.25430,core_full_text,"Learned skill management policy"
P079,paper,core,2026,procedural_memory,"MUSE-Autoskill: Self-Evolving Agents via Skill Creation Memory Management and Evaluation",arXiv:2605.27366,https://arxiv.org/abs/2605.27366,core_full_text,"End-to-end skill lifecycle"
P080,paper,core,2025,procedural_memory,"SkillWeaver: Web Agents can Self-Improve by Discovering and Honing Skills",arXiv:2504.07079,https://arxiv.org/abs/2504.07079,priority_full_text,"Skill APIs and transfer"
P081,paper,core,2026,experience_learning,"Trajectory-Informed Memory Generation for Self-Improving Agent Systems",arXiv:2603.10600,https://arxiv.org/abs/2603.10600,core_full_text,"Attribution and actionable guidance"
P082,paper,core,2026,experience_learning,"Retrieval-Augmented LLM Agents: Learning to Learn from Experience",arXiv:2603.18272,https://arxiv.org/abs/2603.18272,core_full_text,"Trajectory storage querying and selection"
P083,paper,core,2026,transfer,"Memory Transfer Learning: How Memories are Transferred Across Domains in Coding Agents",arXiv:2604.14004,https://arxiv.org/abs/2604.14004,core_full_text,"Abstraction and negative transfer"
P084,paper,high,2026,procedural_memory,"Managing Procedural Memory in LLM Agents: Control Adaptation and Evaluation",arXiv:2606.23127,https://arxiv.org/abs/2606.23127,priority_full_text,"AFTER procedural transfer benchmark"
P085,paper,high,2026,intervention,"Remember When It Matters: Proactive Memory Agent for Long-Horizon Agents",arXiv:2607.08716,https://arxiv.org/abs/2607.08716,priority_full_text,"Selective proactive memory intervention"
P086,paper,high,2026,coding_agents,"Codified Context: Infrastructure for AI Agents in a Complex Codebase",arXiv:2602.20478,https://arxiv.org/abs/2602.20478,title_abstract,"Cross-session hot and cold context"
P087,paper,high,2025,coding_agents,"Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases",arXiv:2512.10398,https://arxiv.org/abs/2512.10398,title_abstract,"Persistent notes and meta-agent refinement"
P088,paper,medium,2026,procedural_memory,"Compositional Skill Routing for LLM Agents: Decompose Retrieve and Compose",arXiv:2606.18051,https://arxiv.org/abs/2606.18051,title_abstract,"Skill composition and context reduction"
P089,paper,high,2024,autonomous_research,"The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery",arXiv:2408.06292,https://arxiv.org/abs/2408.06292,title_abstract,"Automated research lifecycle"
P090,paper,core,2025,autonomous_research,"The AI Scientist-v2: Workshop-Level Automated Scientific Discovery via Agentic Tree Search",arXiv:2504.08066,https://arxiv.org/abs/2504.08066,core_full_text,"End-to-end paper and experiment agent"
P091,paper,core,2025,autonomous_research,"AlphaEvolve: A Coding Agent for Scientific and Algorithmic Discovery",arXiv:2506.13131,https://arxiv.org/abs/2506.13131,core_full_text,"Evaluator-guided evolutionary coding"
P092,paper,high,2025,autonomous_research,"Accelerating Scientific Discovery with AI Co-Scientist",arXiv:2502.18864,https://arxiv.org/abs/2502.18864,title_abstract,"Multi-agent hypothesis generation"
P093,paper,core,2026,autonomous_research,"AutoSci: A Memory-Centric Agentic System for the Full Scientific Research Lifecycle",arXiv:2605.31468,https://arxiv.org/abs/2605.31468,priority_full_text,"Closest research-agent memory comparison"
P094,paper,high,2025,autonomous_research,"Agent Laboratory: Using LLM Agents as Research Assistants",arXiv:2501.04227,https://arxiv.org/abs/2501.04227,title_abstract,"Literature experiment writing pipeline"
P095,paper,high,2026,autonomous_research,"MLReplicate: Benchmarking Autonomous Research Replication",arXiv:2605.16616,https://arxiv.org/abs/2605.16616,title_abstract,"Research-agent benchmark"
P096,paper,high,2026,autonomous_research,"Self-Reinforcing Autonomous Research with Human-AI Collaboration",arXiv:2605.20025,https://arxiv.org/abs/2605.20025,title_abstract,"AutoResearchClaw and cross-run evolution"
P097,paper,high,2024,autonomous_research,"Mathematical Discoveries from Program Search with Large Language Models",DOI:10.1038/s41586-023-06924-6,https://doi.org/10.1038/s41586-023-06924-6,title_abstract,"FunSearch evaluator-guided discovery"
P098,paper,medium,2025,autonomous_research,"CodeEvolve: An Open Source Evolutionary Coding Agent for Algorithm Discovery and Optimization",arXiv:2510.14150,https://arxiv.org/abs/2510.14150,title_abstract,"Open evolutionary coding agent"
P099,paper,medium,2026,autonomous_research,"MLEvolve: A Self-Evolving Framework for Automated Machine Learning Engineering",arXiv:2606.06473,https://arxiv.org/abs/2606.06473,title_abstract,"Self-evolving ML engineering"
P100,paper,core,2022,agent_reasoning,"ReAct: Synergizing Reasoning and Acting in Language Models",arXiv:2210.03629,https://arxiv.org/abs/2210.03629,priority_full_text,"Agent action baseline"
P101,paper,high,2023,agent_reasoning,"Tree of Thoughts: Deliberate Problem Solving with Large Language Models",arXiv:2305.10601,https://arxiv.org/abs/2305.10601,title_abstract,"Search and deliberate reasoning"
P102,paper,high,2023,self_improvement,"Self-Refine: Iterative Refinement with Self-Feedback",arXiv:2303.17651,https://arxiv.org/abs/2303.17651,title_abstract,"Iterative feedback baseline"
P103,paper,high,2023,agent_reasoning,"Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models",arXiv:2310.04406,https://arxiv.org/abs/2310.04406,title_abstract,"LATS search agent"
P104,paper,medium,2023,self_improvement,"Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation",arXiv:2310.02304,https://arxiv.org/abs/2310.02304,title_abstract,"Recursive program improvement"
P105,paper,high,2023,prompt_optimization,"DSPy: Compiling Declarative Language Model Calls into Self-Improving Pipelines",arXiv:2310.03714,https://arxiv.org/abs/2310.03714,title_abstract,"Programmatic prompt and pipeline optimization"
P106,paper,high,2024,prompt_optimization,"TextGrad: Automatic Differentiation via Text",arXiv:2406.07496,https://arxiv.org/abs/2406.07496,title_abstract,"Textual feedback optimization"
P107,paper,high,2023,prompt_optimization,"Large Language Models as Optimizers",arXiv:2309.03409,https://arxiv.org/abs/2309.03409,title_abstract,"OPRO baseline"
P108,paper,high,2023,prompt_optimization,"Automatic Prompt Optimization with Gradient Descent and Beam Search",arXiv:2305.03495,https://arxiv.org/abs/2305.03495,title_abstract,"ProTeGi prompt optimization"
P109,paper,high,2022,prompt_optimization,"Large Language Models Are Human-Level Prompt Engineers",arXiv:2211.01910,https://arxiv.org/abs/2211.01910,title_abstract,"Automatic Prompt Engineer"
P110,paper,medium,2023,prompt_optimization,"PromptBreeder: Self-Referential Self-Improvement via Prompt Evolution",arXiv:2309.16797,https://arxiv.org/abs/2309.16797,title_abstract,"Evolutionary prompt improvement"
P111,paper,medium,2023,prompt_optimization,"EvoPrompt: Connecting LLMs with Evolutionary Algorithms Yields Powerful Prompt Optimizers",arXiv:2309.08532,https://arxiv.org/abs/2309.08532,title_abstract,"Evolutionary prompt baseline"
P112,paper,core,2025,prompt_optimization,"GEPA: Reflective Prompt Evolution Can Outperform Reinforcement Learning",arXiv:2507.19457,https://arxiv.org/abs/2507.19457,priority_full_text,"Cost-efficient reflective evolution"
P113,paper,medium,2023,prompt_optimization,"PromptAgent: Strategic Planning with Language Models Enables Expert-Level Prompt Optimization",arXiv:2310.16427,https://arxiv.org/abs/2310.16427,title_abstract,"Agentic prompt search"
P114,paper,medium,2023,token_efficiency,"Selective Context: Efficient Language Model Inference via Context Pruning",arXiv:2310.06201,https://arxiv.org/abs/2310.06201,title_abstract,"Context pruning baseline"
S001,system,high,2025,autonomous_research,"autoresearch",GitHub,https://github.com/karpathy/autoresearch,system_review,"Iterative experiment loop comparison; not counted as a paper"
S002,system,high,2026,ingestion,"markdownify-mcp",GitHub,https://github.com/zcaceres/markdownify-mcp,system_review,"Ingestion adapter; not counted as a paper"
